job,location,salary
Data Scientist,Bangalore,648573
Data Scientist,Bangalore,1191950
Data Scientist,Bangalore,836874
Data Scientist,Bangalore,669578
Data Scientist,Bangalore,944110
Data Scientist,Bangalore,908764
Data Scientist,Bangalore,926124
Data Scientist,Bangalore,736708
Data Scientist,Bangalore,1646721
Data Scientist,Bangalore,1392960
Data Scientist,Bangalore,1404773
Data Scientist,Bangalore,1507343
Data Scientist,Bangalore,1558095
Data Scientist,Bangalore,2557843
Data Scientist,Bangalore,1510081
Data Scientist,Bangalore,732821
Data Scientist,Bangalore,1221750
Data Scientist,Bangalore,1739484
Data Scientist,Bangalore,1124939
Data Scientist,Bangalore,1630396
Data Scientist,Bangalore,1009436
Data Scientist,Bangalore,550980
Data Scientist,Bangalore,1870000
Data Scientist,Bangalore,758376
Data Scientist,Bangalore,1556575
Data Scientist,Bangalore,1194327
Data Scientist,Bangalore,1470000
Data Scientist,Bangalore,1549942
Data Scientist,Bangalore,1009436
Data Scientist,Bangalore,1541572
Data Scientist,Bangalore,811182
Data Scientist,Bangalore,1205874
Data Scientist,Bangalore,727111
Data Scientist,Bangalore,1923257
Data Scientist,Bangalore,2143501
Data Scientist,Bangalore,1926965
Data Scientist,Bangalore,495252
Data Scientist,Bangalore,1294984
Data Scientist,Bangalore,2334960
Data Scientist,Bangalore,2267616
Data Scientist,Bangalore,1366992
Data Scientist,Bangalore,1453427
Data Scientist,Bangalore,1458032
Data Scientist,Bangalore,1730166
Data Scientist,Bangalore,658109
Data Scientist,Bangalore,794460
Data Scientist,Bangalore,2567381
Data Scientist,Bangalore,1637231
Data Scientist,Bangalore,900000
Data Scientist,Bangalore,902935
Data Scientist,Bangalore,970782
Data Scientist,Bangalore,1050000
Data Scientist,Bangalore,2119584
Data Scientist,Bangalore,1687111
Data Scientist,Bangalore,1465641
Data Scientist,Bangalore,600000
Data Scientist,Bangalore,1805869
Data Scientist,Bangalore,2624063
Data Scientist,Bangalore,955297
Data Scientist,Bangalore,761478
Data Scientist,Bangalore,2805476
Data Scientist,Bangalore,969112
Data Scientist,Bangalore,450979
Data Scientist,Bangalore,1338795
Data Scientist,Bangalore,1040493
Data Scientist,Bangalore,1291549
Data Scientist,Bangalore,599136
Data Scientist,Bangalore,1663189
Data Scientist,Bangalore,1323387
Data Scientist,Bangalore,1246266
Data Scientist,Bangalore,494147
