Scholarship Name,Minimum Education Qualification,Link
Kishori Shakti Yojana,Primary Education,https://wcd.nic.in/schemes/kishori-shakti-yojana
Beti Bachao Beti Padhao Scholarship,Primary Education,https://wcd.nic.in/bbbp-schemes
Pre-Matric Scholarship for Girls,Primary Education,https://scholarships.gov.in/
Balika Samriddhi Yojana,Primary Education,https://wcd.nic.in/balika-samriddhi-yojana
National Child Award for Exceptional Achievements,Primary Education,https://wcd.nic.in/schemes/national-child-awards
Saksham Scholarship for Differently-Abled Girls,Secondary Education,https://www.aicte-india.org/saksham-scholarship
Begum Hazrat Mahal Scholarship,Secondary Education,https://www.minorityaffairs.gov.in/begum-hazrat-mahal-scholarship
CBSE Single Girl Child Scholarship,Secondary Education,https://cbse.nic.in/scholarship/
AICTE Pragati Scholarship for Girls,Secondary Education,https://www.aicte-india.org/pragati-saksham-scholarship
Kanya Vidya Dhan Yojana (Bihar),Secondary Education,https://edudbt.bih.nic.in/
Pratibha Scholarship (Delhi),Higher Secondary,http://edistrict.delhigovt.nic.in/
Post-Matric Scholarship for Girls,Higher Secondary,https://scholarships.gov.in/
Udaan Scholarship for Girls,Higher Secondary,https://cbse.nic.in/udaan/
National Scholarship for Higher Education for Girls,Higher Secondary,https://scholarships.gov.in/
Dr. Ambedkar Post-Matric Scholarship,Higher Secondary,https://socialjustice.nic.in/
Indira Gandhi Scholarship for Single Girl Child,Undergraduate,https://www.ugc.ac.in/igssc/
Raman Charpak Fellowship,Undergraduate,http://cefipra.org/raman-charpak/
Post-Graduate Merit Scholarship for University Rank Holders,Undergraduate,https://www.ugc.ac.in/pgsmerit/
Fulbright-Nehru Master's Fellowships,Postgraduate,https://www.usief.org.in/Fellowships/Fulbright-Nehru-Master's-Fellowships.aspx
Commonwealth Scholarship for Postgraduate Studies,Postgraduate,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/
DAAD Postgraduate Scholarships,Postgraduate,https://www.daad.de/en/study-and-research-in-germany/scholarships/
Chevening Scholarships for Postgraduate Studies,Postgraduate,https://www.chevening.org/scholarships/
Inlaks Shivdasani Foundation Scholarships,Postgraduate,https://www.inlaksfoundation.org/scholarships/
L'Oreal India For Young Women in Science Scholarship,Undergraduate,https://www.foryoungwomeninscience.com/
Vidya Lakshmi Portal Education Loans,Undergraduate,https://www.vidyalakshmi.co.in/
Swami Vivekananda Single Girl Child Scholarship,Undergraduate,https://www.education.gov.in/scholarships
Aga Khan Foundation International Scholarship,Postgraduate,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme
JN Tata Endowment for Higher Education,Undergraduate,https://www.dorabjitatatrust.org/
Narotam Sekhsaria Scholarship,Postgraduate,https://www.nsscholarship.net/
Lady Meherbai D Tata Education Trust Scholarship,Postgraduate,https://www.tatatrusts.org/our-work/education/scholarships
K.C. Mahindra Education Trust Scholarships,Undergraduate,https://www.kcmet.org/
S.N. Bose Scholars Program,Postgraduate,https://www.iusstf.org/program/sn-bose-scholars-program
Erasmus Mundus Joint Master Degrees,Postgraduate,https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en
Rhodes Scholarships at Oxford,Postgraduate,https://www.rhodeshouse.ox.ac.uk/
Gates Cambridge Scholarship,Postgraduate,https://www.gatescambridge.org/
MIT Tata Center Fellowship,Postgraduate,https://tatacenter.mit.edu/fellowships/
Stanford Reliance Dhirubhai Fellowship,Postgraduate,https://www.gsb.stanford.edu/programs/mba/admission/scholarships-loans/reliance-dhirubhai
